0.08861739090643823,
0.06894266218878328,
0.06684589409269392,
0.06616090689785778,
0.0672462483868003,
0.06617189347743987,
0.06574337230995297,
0.06747960299253464,
0.06496079368516802,
0.06524397493340076,
