0.2781281379982829,
0.06760403183288873,
0.06651437412947417,
0.06535826059989631,
0.06726039699278771,
0.06751257092691958,
0.06709025129675865,
0.06727056810632348,
0.06599524160847067,
0.06755830780602992,
