0.3183912739987136,
0.14757338729978073,
0.13873707000020657,
0.13381847299897345,
0.14137866319942988,
0.13646277060033754,
0.13182452579931123,
0.1483418685005745,
0.14404104409913998,
0.1549185851996299,
