0.08343460749892984,
0.07540886630013119,
0.08838695370068309,
0.09130747730087023,
0.09366477360017597,
0.09097765209735371,
0.08184892729914281,
0.08305194810091052,
0.08848304930143058,
0.08295421419898048,
