Batch Size,Conv2D 1x1,Separable Conv2D 1x1,Conv2D 2x2,Separable Conv2D 2x2,Conv2D 3x3,Separable Conv2D 3x3
0,0.9079995900000015,1.1830229099999978,0.8799799999999891,1.2474787500000062,0.8804812500000025,1.2299508400000292
1,0.8778204199999995,1.1987808300000014,0.9526966700000017,1.237484170000016,0.9299420900000399,1.36583083000005
2,0.8705270800000009,1.20935083,0.9516729199999929,1.2969383299999748,1.196047500000006,1.4334991700000188
3,0.8739645799999995,1.27351416,1.0876204199999862,1.3797704199999927,1.1923079099999967,1.4523904200000004
4,0.9204266699999986,1.294620420000001,1.1033308300000044,1.4380291699999859,1.1489433399999882,1.5674141599999558
5,0.9012299999999973,1.289980420000001,1.2707479199999838,1.4716487499999786,1.234702499999969,1.6270475000000317
6,0.9288312499999973,1.323719170000004,1.201338750000005,1.4921312500000283,1.1859654200000591,1.6430129199999755
7,0.9182812500000015,1.3252183299999976,1.2170429100000035,1.4796333299999986,1.2117737500000203,1.759496669999976
8,0.926692499999997,1.3031383300000021,1.0840049999999835,1.5039641699999962,1.2592445800000007,2.190065830000023
9,0.9569104100000025,1.3500762500000008,1.0916141699999926,1.5360616600000299,1.2309958400000198,1.8710495799999904
10,0.9577100000000005,1.3396054200000007,1.0966012500000133,1.7348933299999914,1.2427275000000293,1.9224179199999725
11,1.0517366699999986,1.416122500000001,1.1152791700000009,1.8712041599999907,1.2057333300000295,2.0580720800000307
12,1.023963750000001,1.512411250000003,1.2609704199999783,1.8601533300000028,1.209022919999967,2.1027524999999514
13,1.0677008399999988,1.571127920000004,1.2002654200000151,1.8033450000000073,1.2753329200000252,2.241867500000012
14,1.1015895799999953,1.5967816599999995,1.1796224999999794,1.9326637500000032,1.4131129100000095,2.4067374999999913
15,1.1178716699999924,1.6268862499999948,1.2956008299999766,1.9614350000000158,1.4282395799999392,2.5357491700000168
16,1.1067441700000025,1.6958774999999982,1.277822499999992,2.1150216700000257,1.4492929099999685,2.5980808399999944
17,1.1356979200000072,1.6999862499999985,1.3271495900000119,2.134649589999995,1.426495420000009,2.686551249999951
18,1.131015409999998,1.7154908300000038,1.2894266700000045,2.2083495799999753,1.416296249999931,2.7204041599999584
19,1.172713750000005,1.751832499999999,1.3683483300000177,2.2261291700000285,1.4905274999999563,2.939574580000013
20,1.1618562499999996,1.7746925000000058,1.3738929200000172,2.245342910000012,1.5623320799999618,2.8579683400000278
21,1.1749612499999973,1.7856899999999953,1.2738445899999817,2.2766845800000013,1.4397779200000116,2.8825787499999933
22,1.1758012499999992,1.7646599999999957,1.2955945899999932,2.319950420000012,1.479869590000007,2.974045409999988
23,1.1654295800000014,1.8184854099999992,1.3361929200000233,2.2995249999999956,1.4514012500000462,2.9724595799999776
24,1.19546916,1.7769433299999982,1.334328340000006,2.554699580000026,1.451590830000029,3.072774580000015
25,1.24796334,1.8772312500000066,1.4715499999999793,2.5083725,1.617038750000006,3.291219589999983
26,1.2616291699999937,1.9011320800000142,1.4075408299999737,2.5482237499999982,1.6203254099999498,3.331879170000036
27,1.2337754200000006,1.9389862499999921,1.4334924999999998,2.5180966699999985,1.5930608300000415,3.5884937500000547
28,1.2240500000000054,1.6824699999999915,1.4897666699999945,1.928525840000006,1.6119916699999948,2.2628266699999955
29,1.31270958,1.780867500000003,1.4410404200000215,1.863302090000012,1.66052999999998,2.1391308300000134
30,1.2546600000000119,1.737558339999996,1.4335637499999976,1.9325233300000022,1.6459833400000434,2.211364579999966
31,1.283758749999997,1.7355049999999927,1.5053979099999992,1.8983991700000047,1.6038220799999436,2.104553750000022
32,1.2753745800000083,1.7017929199999848,1.46006332999999,1.8368516700000015,1.6402295900000041,2.1548912499999773
33,1.2794808299999971,1.6979245799999987,1.459495000000004,1.8091924999999875,1.639716660000019,2.118506670000002
34,1.2760166600000034,1.7430708300000042,1.4336774999999946,1.8459279200000012,1.6474883299999732,2.2419550000000044
35,1.2952987499999935,1.7263691700000017,1.5071583399999966,1.8324195900000007,1.830888749999957,2.1485049999999717
36,1.3034441699999988,1.772500000000008,1.4651750000000163,1.8735137500000576,1.6613087500000034,2.1676612499999948
37,1.2991566600000048,1.775283329999997,1.4823970799999842,1.9148408300000597,1.8359712499999858,2.3619458299999962
38,1.2702837500000008,1.7519333299999928,1.4196325000000343,1.8903662499999996,1.7183741599999536,2.2812358299999858
39,1.2609354199999956,1.7730316699999982,1.4390233299999977,1.895523749999981,1.7902554199999798,2.2624741599999965
40,1.3089954099999979,1.761923749999994,1.4430266700000516,1.8824545799999726,1.7940399999999812,2.3281862500000017
41,1.3273175000000137,1.8082712500000042,1.4700249999999926,1.893553750000052,1.8600554199999664,2.3398654100000016
42,1.2998283300000146,1.8648595800000045,1.4568024999999807,1.9860008399999882,1.7601025000000448,2.2028883399999444
43,1.3048495900000034,1.8419262499999967,1.5429329099999478,1.9712462500000072,1.807870840000021,2.3626825000000196
44,1.3434954100000063,1.8660879200000124,1.4986512499999805,2.0108804099999844,1.796211659999969,2.395052090000007
45,1.3635458399999933,1.863208329999999,1.5333466699999576,2.074467909999953,1.791299579999972,2.2917733399999918
46,1.338602919999996,1.8615695899999984,1.650851250000045,2.1610354199999904,1.803352919999952,2.3258458400000137
47,1.4030708299999972,1.9066500000000097,1.6328537500000095,2.108419170000033,1.759800000000027,2.3376991599999997
48,1.4002108299999882,1.9060887500000057,1.6973283299999764,2.1559433400000216,1.7835229199999958,2.312704999999937
49,1.4129941700000082,1.8938479100000016,1.680582500000014,2.19615417,1.7347220799999974,2.1998341699999457
50,1.4256400000000014,1.9418862500000067,1.6489716699999946,2.164536659999996,1.807688330000019,2.356597500000035
51,1.431305829999996,1.9317629200000042,1.7348033299999344,2.18054875,1.9297041600000142,2.3411587500000053
52,1.4052387499999952,1.9475641700000068,1.7302845799999744,2.171515419999963,1.8972395899999839,2.3441608299999928
53,1.4604708300000269,1.9501237500000101,1.755847919999951,2.13712000000001,1.8990349999999268,2.377822500000093
54,1.435534589999996,1.982842920000003,1.7467262499999947,2.2089283399999715,2.0010616699998707,2.4075424999999484
55,1.455031670000011,1.9852858399999818,1.71120375000001,2.2217258300000253,1.9622254200000102,2.4370483300000956
56,1.438568329999974,1.9775504100000063,1.7466399999999993,2.1367262499999384,1.9901687500001233,2.3964341700001057
57,1.4633104199999991,2.05090000000002,1.7927629199999728,2.2370433400000422,1.9846370899999497,2.4119400000000724
58,1.4766941699999947,2.1108629100000087,1.686620410000046,2.215793330000011,2.052659999999946,2.4273179200000072
59,1.516017500000011,2.143204169999997,1.758434159999993,2.262024999999994,2.0288558299999693,2.4493487499999844
60,1.509094169999976,2.1414454100000313,1.7994070800000372,2.2245320800000457,2.018948329999972,2.7770987499999933
61,1.50461374999999,2.1073699999999818,1.8236166599999848,2.2433070800000365,2.3971191699999395,2.5682020899999713
